"file" "main" "res" "task" "f" "corpus"
"aclew_starter_ROS_9559_15_01_03600" "383.15" "pipeline/v1/lda120_plda_voxceleb/jsalt19_spkdiar_babytrain_eval/plda_scores_tbest/clean.pyannote-der" "diar" "babytrain_test.txt" "babytrain"
"aclew_starter_ROS_9559_15_01_03600" "0" "pipeline/v1/lda120_plda_voxceleb_babytrain/jsalt19_spkdiar_babytrain_eval_gtvad/plda_scores_tbest/clean.pyannote-det" "det" "babytrain_test.txt" "babytrain"
"aclew_starter_ROS_9559_15_01_03600" "0" "pipeline/v1/lda120_plda_voxceleb/jsalt19_spkdiar_babytrain_eval_gtvad/plda_scores_tbest/clean.pyannote-det" "det" "babytrain_test.txt" "babytrain"
"aclew_starter_ROS_9559_15_01_03600" "326.57" "pipeline/v1/lda120_plda_voxceleb_babytrain/jsalt19_spkdiar_babytrain_eval/plda_scores_tbest/clean.pyannote-det" "det" "babytrain_test.txt" "babytrain"
"aclew_starter_ROS_9559_15_01_03600" "377.46" "pipeline/v1/lda120_plda_voxceleb_babytrain/jsalt19_spkdiar_babytrain_eval/plda_scores_tbest/clean.pyannote-der" "diar" "babytrain_test.txt" "babytrain"
"aclew_starter_ROS_9559_15_01_03600" "57.54" "pipeline/v1/lda120_plda_voxceleb/jsalt19_spkdiar_babytrain_eval_gtvad/plda_scores_tbest/clean.pyannote-der" "diar" "babytrain_test.txt" "babytrain"
"aclew_starter_ROS_9559_15_01_03600" "56.25" "pipeline/v1/lda120_plda_voxceleb_babytrain/jsalt19_spkdiar_babytrain_eval_gtvad/plda_scores_tbest/clean.pyannote-der" "diar" "babytrain_test.txt" "babytrain"
"aclew_starter_ROS_9559_15_01_03600" "326.57" "pipeline/v1/lda120_plda_voxceleb/jsalt19_spkdiar_babytrain_eval/plda_scores_tbest/clean.pyannote-det" "det" "babytrain_test.txt" "babytrain"
"aclew_starter_SOD_9733_11_01_36000" "467.05" "pipeline/v1/lda120_plda_voxceleb/jsalt19_spkdiar_babytrain_eval/plda_scores_tbest/clean.pyannote-der" "diar" "babytrain_test.txt" "babytrain"
"aclew_starter_SOD_9733_11_01_36000" "0" "pipeline/v1/lda120_plda_voxceleb/jsalt19_spkdiar_babytrain_eval_gtvad/plda_scores_tbest/clean.pyannote-det" "det" "babytrain_test.txt" "babytrain"
"aclew_starter_SOD_9733_11_01_36000" "50.16" "pipeline/v1/lda120_plda_voxceleb_babytrain/jsalt19_spkdiar_babytrain_eval_gtvad/plda_scores_tbest/clean.pyannote-der" "diar" "babytrain_test.txt" "babytrain"
"aclew_starter_SOD_9733_11_01_36000" "428.27" "pipeline/v1/lda120_plda_voxceleb_babytrain/jsalt19_spkdiar_babytrain_eval/plda_scores_tbest/clean.pyannote-det" "det" "babytrain_test.txt" "babytrain"
"aclew_starter_SOD_9733_11_01_36000" "428.27" "pipeline/v1/lda120_plda_voxceleb/jsalt19_spkdiar_babytrain_eval/plda_scores_tbest/clean.pyannote-det" "det" "babytrain_test.txt" "babytrain"
"aclew_starter_SOD_9733_11_01_36000" "456.02" "pipeline/v1/lda120_plda_voxceleb_babytrain/jsalt19_spkdiar_babytrain_eval/plda_scores_tbest/clean.pyannote-der" "diar" "babytrain_test.txt" "babytrain"
"aclew_starter_SOD_9733_11_01_36000" "55.47" "pipeline/v1/lda120_plda_voxceleb/jsalt19_spkdiar_babytrain_eval_gtvad/plda_scores_tbest/clean.pyannote-der" "diar" "babytrain_test.txt" "babytrain"
"aclew_starter_SOD_9733_11_01_36000" "0" "pipeline/v1/lda120_plda_voxceleb_babytrain/jsalt19_spkdiar_babytrain_eval_gtvad/plda_scores_tbest/clean.pyannote-det" "det" "babytrain_test.txt" "babytrain"
"aclew_starter_WAR_9755_03_01_30816" "90.35" "pipeline/v1/lda120_plda_voxceleb/jsalt19_spkdiar_babytrain_eval/plda_scores_tbest/clean.pyannote-der" "diar" "babytrain_test.txt" "babytrain"
"aclew_starter_WAR_9755_03_01_30816" "26.15" "pipeline/v1/lda120_plda_voxceleb_babytrain/jsalt19_spkdiar_babytrain_eval_gtvad/plda_scores_tbest/clean.pyannote-der" "diar" "babytrain_test.txt" "babytrain"
"aclew_starter_WAR_9755_03_01_30816" "38.31" "pipeline/v1/lda120_plda_voxceleb/jsalt19_spkdiar_babytrain_eval_gtvad/plda_scores_tbest/clean.pyannote-der" "diar" "babytrain_test.txt" "babytrain"
"aclew_starter_WAR_9755_03_01_30816" "57.38" "pipeline/v1/lda120_plda_voxceleb/jsalt19_spkdiar_babytrain_eval/plda_scores_tbest/clean.pyannote-det" "det" "babytrain_test.txt" "babytrain"
